BREVITEST,,,,,,,,,,,,,,,Datasheet Box Link: https://app.box.com/folder/379359319033,,,,,,,,,,,,,,,,,,,,,,,,
Tag #,Equiment,Bench/Floor,Location,QTY,Dimensions (Inches),,,Power,Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,,,,,,,,,,,,,,,,,,,,,,,,
Spec Sheet,,,,,W,D,H,,,,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-23,New Benches,Floor,,2,72,,36,N/A,N/A,N/A,,"New benches to replace 170"" Clia counter",Open Lab,144,,,,,,,,,,,,,,,,,,,,,,,,,
B-24,Clia Cabinets,UC,,,120,16,29,N/A,N/A,N/A,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
B-25,Safety Cabinets,Floor,,2,18,25,36,N/A,N/A,N/A,,,Open Lab,36,,,,,,,,,,,,,,,,,,,,,,,,,
B-26,Wire Shelf,Floor,,2,35,16,72,N/A,N/A,N/A,,Black,Open Lab,70,,,,,,,,,,,,,,,,,,,,,,,,,
B-27,Tall black inventory ,Floor,,2,36,24,83,N/A,N/A,N/A,,Cabinet,Open Lab,72,,,,,,,,,,,,,,,,,,,,,,,,,
B-28,Small black inventory,Floor,,4,36,24,45,N/A,N/A,N/A,,Cabinet,Open Lab,144,,,,,,,,,,,,,,,,,,,,,,,,,
E-29,Lyophilizer,Bench,B-04,1,25,22,17,240,3300,15,Yes,Only instrument that requires more than 120V. Location: left wall (next to door),Open Lab,,https://www.thelabworldgroup.com/product/virtis-4k-benchtop-freeze-dryer/,,,,,,,,,,,,,,,,,,,,,,,,
B-30,Wire Shelf,Floor,,1,36,24,48,N/A,N/A,N/A,,Silver,Inventory,36,,,,,,,,,,,,,,,,,,,,,,,,,
B-31,Wire Shelf,Floor,,4,48,16,76,N/A,N/A,N/A,,Silver,Inventory,192,,,,,,,,,,,,,,,,,,,,,,,,,
B-32,Cardboard Shelf,Floor,,1,36,18,72,N/A,N/A,N/A,,,Inventory,36,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prototoyping lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-33,Table 1,,,1,94,36,35,N/A,N/A,N/A,,,Prototoyping lab,,,,,,,,,,,,,,,,,,,,,,,,,,
B-34,Table 2,,,1,60,25,35,N/A,N/A,N/A,,,Prototoyping lab,,,,,,,,,,,,,,,,,,,,,,,,,,
B-35,Soldering Table,Floor,,1,47,31,36,N/A,N/A,N/A,,,Prototoyping lab,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENCH EQUIPMENT ,,Location,BENCH ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E-36,Opentron ,Bench  B-04,B-05,3,26,22,26,120,460,4,,,Manufacturing,,https://opentrons.com/products/robots/ot-2/,,,,,,,,,,,,,,,,,,,,,,,,
E-37,Cartridge Sealer,Bench,B-05,1,32,16,11,120,650,15,,,Manufacturing,,https://uspackagingandwrapping.com/files/Continuous%20band%20sealer%20flyer.pdf,,,,,,,,,,,,,,,,,,,,,,,,
E-38,Heat Sealer,Bench,,1,32,16,11,120,,,,,Manufacturing ,,,,,,,,,,,,,,,,,,,,,,,,,,
E-39,Computer Mac,Bench,B-05,,20,24,19,120,143,1.19,,,Manufacturing ,,https://www.apple.com/imac/specs/,,,,,,,,,,,,,,,,,,,,,,,,
E-40,Computer Laser Cutter ,Bench,B-33,,10,12,12,120,120,100,0.83,,Lenovo Yoga 9i 14IAP7,Manufacturing,https://psrefstuff.lenovo.com/syspool/Sys/PDF/datasheet/Yoga_9_14IAP7_datasheet_EN.pdf,,,,,,,,,,,,,,,,,,,,,,,,
E-41,Printer ,Bench,B-07,,18,16,12,120,500,4.17,,,Manufacturing ,,https://h20195.www2.hp.com/v2/getpdf.aspx/4AA7-4956EEP.pdf,,,,,,,,,,,,,,,,,,,,,,,,
